Title	URL	Assignees	Status	Labels
Document / obtain documentation for relevant part of UDS	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/21	MikeFAU	Feature Archive	Est. size = 3, Needs Code Review, Real size = 5, Sprint 3
[MCU] Create / modify existing project to demonstrate module functionality	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/25	ibexq	Feature Archive	Est. size = 3, Real size = 2, Sprint 3
[GUI] QT App Build process	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/33	wiklam	Feature Archive	Est. size = 3, Real size = 5, Sprint 3
[UI] Implement "Updating in progress" indicator	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/7	wiklam	Feature Archive	Est. size = 2, Real size = 2, Sprint 3
Design a Mockup for ECU Listing UI	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/27	wiklam	Feature Archive	Est. size = 3, Real size = 3, Sprint 3
Implement a function to select CAN-HW	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/17	wlklsn	Feature Archive	Est. size = 5, Real size = 3, Sprint 3
[MCU] CAN driver	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/10	sebas-rodri	Feature Archive	Est. size = 5, Real size = 5, Sprint 2
[MCU] LED driver	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/9	PaulRoy1	Feature Archive	Est. size = 5, Real size = 2, Sprint 2
[MCU] Flash driver	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/11	ibexq	Feature Archive	Est. size = 5, Real size = 5, Sprint 2
Create Logo	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/1	AndreasFreund	Feature Archive	Sprint 1
Get familiar with CAN-Bus, Aurix IDE, MCU programming	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/3	AndreasFreund, ibexq, MikeFAU, Nahrain1, PaulRoy1, sebas-rodri, wiklam, wlklsn	Feature Archive	Sprint 1
Create *.s19 to Binary converter	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/6	wlklsn	Feature Archive	Est. size = 3, Real size = 3, Sprint 2
Align on a GUI framework	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/4	MikeFAU, sebas-rodri, wiklam	Feature Archive	Sprint 1
Implement a function for file browsing, selecting, and simple processing	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/5	wiklam	Feature Archive	Est. size = 5, Real size = 5, Sprint 2
Create the description of the planned software architecture	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/14	ibexq, MikeFAU, PaulRoy1, sebas-rodri, wiklam, wlklsn	Feature Archive	Est. size = 3, Real size = 2, Sprint 2
[Win] CAN Wrapper	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/12	MikeFAU	Feature Archive	Est. size = 5, Real size = 5, Sprint 2
Initialize Readme file	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/15	MikeFAU	Feature Archive	documentation, Est. size = 1, Real size = 1, Sprint 2
Initialize software bill of materials	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/13	ibexq, MikeFAU, PaulRoy1, sebas-rodri, wiklam, wlklsn	Feature Archive	Est. size = 1, Real size = 1, Sprint 2
Packaging of Windows Aplication - .zip / Installer	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/23	PaulRoy1	Feature Archive	Est. size = 2, Real size = 2, Sprint 5
[Bugfix] Investigate bytes lost maybe in IsoTP	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/75	sebas-rodri, wlklsn	Feature Archive	Bugfix, Est. size = 5, Real size = 3, Sprint 6, transmission
Move buildscripts into subdirectories	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/73	wlklsn	Feature Archive	build, Est. size = 1, Real size = 1, Sprint 6
[Win] Fix CAN-Bus not opening, when already in use by other app, e.g. CANoe	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/52	MikeFAU	Feature Archive	Bugfix, Est. size = 1, Real size = 1, Sprint 6
Populate MCU List from CAN Bus	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/51	MikeFAU	Feature Archive	Est. size = 2, Real size = 2, Sprint 6
Midterm Refactoring and Bugfixing	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/81	MikeFAU	Feature Archive	Bugfix, Est. size = 3, Real size = 3, refactoring, Sprint 6
Update Software Architecture Diagram	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/72	MikeFAU	Feature Archive	Est. size = 3, Real size = 2, Sprint 6
Restart the ECU (soft reset) over GUI	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/18	wiklam	Feature Archive	Est. size = 3, Real size = 3, Sprint 5, Sprint 6
[GUI] Add Clear Log Button	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/66	sebas-rodri	Feature Archive	Est. size = 2, Real size = 2, Sprint 6
Refactoring of drivers	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/69	PaulRoy1	Feature Archive	Est. size = 5, Real size = 5, refactoring, Sprint 6
[WIN] Add connectivity indicator	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/87	wiklam	Feature Archive	Est. size = 3, Real size = 3, Sprint 7
[MCU] Implement flash date display and flash persistence module	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/8	MikeFAU	Feature Archive	Est. size = 5, Real size = 5, Sprint 7
[MCU] UDS messageInterpreter (Rx)	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/43	ibexq, sebas-rodri	Feature Archive	Est. size = 5, Real size = 5, Sprint 4, Sprint 5
Build Process Video	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/47	ibexq	Feature Archive	Sprint 5
[WIN] Communication Layer (IsoTP)	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/39	MikeFAU	Feature Archive	Est. size = 5, Real size = 8, Sprint 4, Sprint 5
[MCU] UDS Tx	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/44	ibexq, sebas-rodri	Feature Archive	Est. size = 5, Real size = 5, Sprint 4, Sprint 5
[MCU] Communication Layer (IsoTP)	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/40	wlklsn	Feature Archive	Est. size = 8, Real size = 8, Sprint 4, Sprint 5
GUI changes	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/68	wiklam	Feature Archive	Est. size = 5, Real size = 5, Sprint 6
[WIN] Implement the CAN bus bitrate selection	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/85	PaulRoy1	Feature Archive	Est. size = 3, Real size = 3, Sprint 7
[MCU] Clarify Flash Layout w/ Hella and Implement it	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/103	ibexq	Feature Archive	Est. size = 3, Real size = 3, Sprint 8
Update User Documentation for Hella	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/107	ibexq	Feature Archive	Est. size = 2, Real size = 2, Sprint 9
Display Version Information before Flashing	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/93	wiklam	Feature Archive	Est. size = 2, Real size = 5, Sprint 8
[WIN] Validation of firmware file	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/24	wlklsn	Feature Archive	Est. size = 8, Real size = 8, Sprint 7, Sprint 8
[MCU] Reboot to Bootloader from ASW	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/96	ibexq	Feature Archive	Est. size = 3, Real size = 3, Sprint 10, Sprint 9
Generate Log File	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/99	wiklam	Feature Archive	Est. size = 3, Real size = 3, Sprint 10, Sprint 9
[GUI] Remember last folder path	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/116	wiklam	Feature Archive	Est. size = 3, Real size = 3, Sprint 10
Create professional and regular GUI modes	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/112	wiklam	Feature Archive	Est. size = 2, Real size = 2, Sprint 10
Fix Bug in Flashing / Validation Feature Branch	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/121	MikeFAU, wlklsn	Feature Archive	Est. size = 8, Real size = 5, Sprint 10
[Orga] Presentation	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/129	ibexq	Feature Archive	Sprint 11
Optimize s19 file parsing / validation	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/134	wlklsn	Feature Archive	Est. size = 3, Real size = 3, Sprint 11
Test Flashing & Jump to ASW	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/131	MikeFAU, PaulRoy1, wlklsn	Feature Archive	Est. size = 8, Real size = 8, Sprint 10, Sprint 11
[MCU] Verify firmware update Post-Flashing	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/97	PaulRoy1	Feature Archive	Est. size = 5, Real size = 8, Sprint 10, Sprint 8, Sprint 9
Refactoring and Testing for final release	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/138	MikeFAU, wiklam	In Progress	Est. size = 5, Sprint 12
Make GUI user-friendly 	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/141	PaulRoy1	In Progress	Est. size = 5, Sprint 12
Finalize the documentation	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/135	ibexq	In Progress	Est. size = 5, Sprint 12
Trigger "Reset to Bootloader" from UI	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/133	wiklam	Awaiting Review	Est. size = 5, Sprint 10, Sprint 11, Sprint 12
[MCU] Key Mechanism in Flash	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/102	sebas-rodri	Awaiting Review	Est. size = 5, Real size = 5, Sprint 10, Sprint 11, Sprint 12
[GUI] Drop down has default values selected	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/140	sebas-rodri	Awaiting Review	Est. size = 2, Real size = 2, Sprint 12
create presentation for demo day and organize demo day presentation (schedule)	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/139		Awaiting Review	
Create Porting Guide	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/119		Sprint Backlog	Est. size = 8, Sprint 12
[GUI] indicator for can adapter connection	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/144		Product Backlog	
Create CANoe config for IsoTP, UDS compliance testing	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/111		Product Backlog	
display memory usage and availability in the GUI			Product Backlog	
Search for possible improvements for flash memory management ( ?)			Product Backlog	
[WIN][MCU] Flow Control IsoTP	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/118		Product Backlog	Est. size = 8, Sprint 10
Adjust version information to use struct and not *.s19 informaiton	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/132		Product Backlog	Est. size = 3
Integrate User Documentation into GUI	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/120		Product Backlog	
Use UDS Key Mechanism for Security			Product Backlog	
User Authentication for Flashing Process	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/117		Product Backlog	
Timestamp with Date in Console			Product Backlog	
Move handling of UDS responses out of UI thread to stop hanging			Product Backlog	
Remember CAN Bus settings after restart of app			Product Backlog	
TODO: Check can connection after pc leaves powersaving. this breaks the communication			Product Backlog	
TODO: unplug / replug vector adapter			Product Backlog	
